N,P,K,ph,soil_type
126,108,170,7.89,Alkaline
45,109,201,5.77,Clay
44,39,40,5.47,Acidic
0,117,150,6.38,Clay
107,56,189,8.7,Alkaline
18,57,82,5.01,Acidic
75,95,116,4.11,Acidic
71,85,27,8.69,Alkaline
108,108,123,3.66,Acidic
11,70,120,8.97,Alkaline
44,117,146,5.33,Acidic
89,35,201,6.55,Clay
102,65,26,4.29,Acidic
7,105,32,8.91,Alkaline
90,109,47,8.0,Alkaline
86,102,80,9.04,Alkaline
83,38,22,7.6,Alkaline
81,63,104,4.61,Acidic
67,7,128,5.35,Acidic
126,21,113,6.42,Sandy
81,82,40,7.14,Sandy
83,50,129,9.06,Alkaline
112,39,11,5.8,Sandy
75,133,27,7.72,Alkaline
121,116,166,9.27,Alkaline
40,136,121,4.41,Acidic
1,65,118,8.68,Alkaline
28,101,100,6.02,Sandy
104,94,25,7.89,Alkaline
50,140,74,5.26,Acidic
74,63,179,5.5,Clay
9,22,57,3.66,Acidic
50,99,88,9.33,Alkaline
117,20,110,8.38,Alkaline
120,14,45,4.06,Acidic
38,108,164,9.5,Alkaline
27,80,132,7.13,Clay
2,20,146,8.62,Alkaline
83,16,92,3.9,Acidic
116,79,107,5.84,Loamy
1,133,111,7.52,Alkaline
92,31,21,4.14,Acidic
130,16,29,6.43,Sandy
93,34,68,6.16,Sandy
39,13,205,4.8,Acidic
1,57,90,5.3,Acidic
80,58,123,9.3,Alkaline
11,53,180,5.23,Acidic
64,8,39,4.78,Acidic
54,83,41,6.72,Sandy
44,95,59,7.53,Alkaline
100,83,149,7.85,Alkaline
61,107,160,8.03,Alkaline
48,115,133,3.72,Acidic
126,62,57,5.86,Loamy
22,86,77,8.14,Alkaline
37,136,187,8.93,Alkaline
27,26,117,7.11,Sandy
20,135,193,3.81,Acidic
106,83,17,5.88,Loamy
98,103,51,3.95,Acidic
118,42,196,7.99,Alkaline
72,121,164,3.88,Acidic
121,30,32,4.61,Acidic
29,140,57,6.0,Sandy
107,54,35,6.28,Loamy
97,42,12,5.94,Sandy
31,142,76,6.28,Sandy
78,46,128,7.78,Alkaline
40,41,102,5.72,Sandy
62,144,91,6.79,Sandy
22,53,78,5.32,Acidic
103,50,105,5.62,Sandy
74,33,29,7.18,Sandy
47,16,119,6.44,Sandy
56,120,37,7.84,Alkaline
117,86,200,6.86,Loamy
99,48,139,8.32,Alkaline
123,6,101,6.16,Sandy
33,21,198,6.45,Clay
6,142,116,7.52,Alkaline
55,22,178,4.83,Acidic
64,26,100,5.82,Sandy
46,87,9,7.25,Sandy
18,62,125,3.67,Acidic
125,57,114,6.12,Loamy
138,5,21,7.09,Sandy
48,65,80,9.3,Alkaline
112,35,56,8.76,Alkaline
37,70,144,5.18,Acidic
63,57,66,6.54,Sandy
68,99,167,3.84,Acidic
135,27,194,4.94,Acidic
115,135,25,8.15,Alkaline
64,91,89,4.24,Acidic
30,129,198,5.05,Acidic
131,113,185,9.16,Alkaline
112,44,25,8.44,Alkaline
108,125,147,8.19,Alkaline
68,43,155,8.69,Alkaline
119,124,132,8.0,Alkaline
87,22,163,4.22,Acidic
66,41,58,6.6,Sandy
74,9,187,6.17,Clay
44,77,30,5.37,Acidic
3,139,57,8.5,Alkaline
106,45,70,6.28,Sandy
50,14,171,3.86,Acidic
49,72,11,5.15,Acidic
5,28,171,4.87,Acidic
58,82,36,8.82,Alkaline
124,113,158,7.38,Loamy
29,28,91,6.86,Sandy
121,11,161,6.54,Clay
124,77,157,7.4,Loamy
36,111,188,8.03,Alkaline
123,103,163,6.83,Loamy
100,126,198,9.13,Alkaline
34,16,6,9.36,Alkaline
86,89,179,9.47,Alkaline
133,7,79,7.52,Alkaline
17,83,33,9.1,Alkaline
112,89,131,5.93,Loamy
28,14,53,8.66,Alkaline
76,37,205,8.96,Alkaline
58,50,36,8.92,Alkaline
125,63,162,8.49,Alkaline
108,56,19,5.94,Loamy
21,10,66,4.45,Acidic
67,134,82,5.5,Sandy
68,33,21,8.1,Alkaline
48,123,26,4.9,Acidic
140,101,162,6.37,Loamy
108,72,85,6.89,Loamy
85,64,148,7.12,Clay
52,128,184,9.11,Alkaline
122,88,12,7.47,Loamy
86,45,196,8.22,Alkaline
130,117,171,6.99,Loamy
41,69,35,8.5,Alkaline
97,83,16,5.08,Acidic
108,67,37,4.76,Acidic
50,122,190,9.06,Alkaline
84,41,16,7.66,Alkaline
126,68,29,7.53,Alkaline
20,90,170,6.3,Clay
43,137,52,5.76,Sandy
138,38,87,6.83,Sandy
102,43,59,4.22,Acidic
67,71,135,6.23,Clay
128,66,129,6.23,Loamy
91,92,73,6.73,Loamy
23,135,167,7.31,Clay
124,113,55,9.24,Alkaline
140,93,31,7.41,Loamy
110,71,169,8.8,Alkaline
97,83,148,6.84,Loamy
138,33,29,7.26,Sandy
16,78,37,3.92,Acidic
98,36,66,4.3,Acidic
81,91,149,6.98,Clay
103,43,175,5.87,Clay
18,141,34,8.29,Alkaline
84,105,45,6.76,Sandy
7,72,121,8.79,Alkaline
27,32,8,9.33,Alkaline
4,18,70,4.39,Acidic
100,81,64,5.87,Loamy
117,120,141,7.49,Loamy
63,32,35,5.33,Acidic
90,93,93,5.1,Acidic
116,36,104,8.38,Alkaline
97,141,123,9.38,Alkaline
10,99,73,8.14,Alkaline
53,21,156,6.64,Clay
46,121,28,6.16,Sandy
139,81,177,6.74,Loamy
138,59,169,6.28,Loamy
4,14,190,6.52,Clay
19,84,27,4.72,Acidic
45,138,167,8.92,Alkaline
11,120,67,8.03,Alkaline
69,83,122,7.59,Alkaline
16,64,118,9.2,Alkaline
114,46,10,5.21,Acidic
47,120,10,3.99,Acidic
107,113,34,8.46,Alkaline
51,75,5,9.49,Alkaline
95,106,67,6.97,Loamy
69,17,140,3.85,Acidic
101,19,32,8.18,Alkaline
74,40,93,3.94,Acidic
81,19,165,6.74,Clay
91,121,57,5.17,Acidic
3,79,42,8.99,Alkaline
134,60,56,6.21,Loamy
108,99,82,8.89,Alkaline
47,136,143,5.29,Acidic
72,56,134,5.82,Clay
71,142,57,9.18,Alkaline
115,88,98,4.71,Acidic
80,33,98,6.97,Sandy
80,57,200,5.83,Clay
112,25,11,8.15,Alkaline
95,116,71,4.28,Acidic
71,142,141,6.12,Clay
62,80,120,7.69,Alkaline
37,34,195,5.94,Clay
66,129,143,3.85,Acidic
68,55,41,7.73,Alkaline
12,82,146,6.52,Clay
30,26,151,3.57,Acidic
113,68,12,7.18,Loamy
21,25,139,9.02,Alkaline
92,133,63,4.17,Acidic
66,111,127,7.04,Clay
53,120,195,7.87,Alkaline
137,128,11,3.92,Acidic
41,40,124,3.64,Acidic
63,51,187,6.29,Clay
125,36,7,8.25,Alkaline
20,58,71,4.46,Acidic
34,27,22,8.52,Alkaline
29,6,49,7.44,Sandy
56,114,101,5.49,Acidic
46,128,96,6.59,Sandy
18,71,168,9.29,Alkaline
113,75,148,4.8,Acidic
7,33,83,6.5,Sandy
25,123,161,7.25,Clay
112,117,63,4.33,Acidic
70,49,150,3.76,Acidic
29,20,181,3.58,Acidic
134,35,178,5.45,Acidic
66,54,87,3.94,Acidic
64,126,161,8.32,Alkaline
35,19,202,9.48,Alkaline
24,53,113,3.87,Acidic
36,14,182,6.1,Clay
0,24,59,3.65,Acidic
36,74,159,4.3,Acidic
140,12,139,5.44,Acidic
135,38,95,5.86,Sandy
132,8,87,9.14,Alkaline
127,112,130,5.88,Loamy
126,28,85,6.48,Sandy
0,59,173,4.97,Acidic
34,30,143,3.5,Acidic
103,29,9,8.9,Alkaline
22,40,70,3.99,Acidic
8,75,115,9.29,Alkaline
33,16,188,4.29,Acidic
127,133,16,7.13,Loamy
3,120,174,9.5,Alkaline
101,137,110,4.33,Acidic
74,87,79,6.04,Sandy
98,10,142,8.18,Alkaline
71,30,32,3.69,Acidic
2,117,11,7.64,Alkaline
33,107,146,3.98,Acidic
44,124,81,4.92,Acidic
60,13,201,4.46,Acidic
82,49,65,8.94,Alkaline
122,18,55,4.58,Acidic
101,116,174,3.74,Acidic
15,59,140,7.03,Clay
65,141,182,5.58,Clay
118,19,133,5.93,Clay
123,41,201,4.21,Acidic
101,131,15,7.99,Alkaline
65,121,111,7.11,Sandy
12,88,52,5.69,Sandy
110,76,142,4.53,Acidic
33,100,147,7.06,Clay
38,115,107,8.17,Alkaline
135,109,51,5.37,Acidic
119,62,157,3.66,Acidic
125,99,116,4.79,Acidic
54,122,10,7.59,Alkaline
26,10,15,9.43,Alkaline
117,8,21,3.58,Acidic
52,47,147,5.34,Acidic
38,97,20,3.87,Acidic
64,46,60,5.4,Acidic
12,7,70,5.94,Sandy
20,133,168,9.03,Alkaline
52,19,87,3.98,Acidic
18,51,170,8.16,Alkaline
56,89,79,5.87,Sandy
24,62,131,8.37,Alkaline
30,43,135,6.58,Clay
80,135,22,3.74,Acidic
22,39,93,9.18,Alkaline
31,56,186,4.0,Acidic
73,122,98,7.09,Sandy
9,18,21,8.77,Alkaline
53,34,118,3.98,Acidic
51,94,111,6.82,Sandy
113,139,103,8.45,Alkaline
13,99,17,9.42,Alkaline
109,73,67,7.85,Alkaline
52,131,18,5.17,Acidic
78,56,191,7.7,Alkaline
21,67,168,7.73,Alkaline
29,40,22,7.7,Alkaline
3,95,137,8.63,Alkaline
58,57,18,4.02,Acidic
7,113,29,4.15,Acidic
11,76,48,7.34,Sandy
118,19,125,9.22,Alkaline
33,117,43,6.3,Sandy
81,73,144,9.26,Alkaline
97,120,108,9.13,Alkaline
126,8,193,8.92,Alkaline
74,79,66,8.96,Alkaline
104,46,57,8.89,Alkaline
48,34,57,8.42,Alkaline
78,74,160,7.67,Alkaline
92,20,167,3.65,Acidic
17,115,122,4.29,Acidic
95,108,69,4.31,Acidic
37,111,135,3.64,Acidic
86,127,47,4.2,Acidic
87,31,54,9.02,Alkaline
49,17,203,7.48,Clay
7,77,141,5.37,Acidic
133,90,40,8.26,Alkaline
68,35,27,6.43,Sandy
120,7,78,4.35,Acidic
63,34,54,8.81,Alkaline
138,103,59,5.53,Loamy
120,138,129,7.69,Alkaline
64,103,16,5.24,Acidic
106,90,87,6.5,Loamy
136,68,36,8.4,Alkaline
99,122,156,4.44,Acidic
81,118,90,9.36,Alkaline
50,91,199,3.92,Acidic
140,44,159,6.7,Clay
82,29,193,9.0,Alkaline
111,99,23,9.17,Alkaline
55,50,205,4.89,Acidic
59,142,55,4.36,Acidic
119,36,68,7.85,Alkaline
137,101,134,3.75,Acidic
22,20,168,6.41,Clay
12,22,132,8.28,Alkaline
100,140,143,6.86,Loamy
23,79,200,4.63,Acidic
107,5,200,6.42,Clay
10,129,68,9.03,Alkaline
16,42,5,7.2,Sandy
24,49,93,7.83,Alkaline
93,85,30,5.52,Loamy
20,133,143,4.63,Acidic
83,36,91,5.03,Acidic
139,140,6,6.7,Loamy
36,122,97,5.18,Acidic
41,44,172,6.75,Clay
100,78,123,7.75,Alkaline
47,115,136,7.91,Alkaline
102,107,84,4.49,Acidic
27,107,115,8.0,Alkaline
40,78,169,7.54,Alkaline
98,118,130,3.57,Acidic
46,127,193,3.85,Acidic
104,61,9,7.38,Loamy
123,78,147,5.8,Loamy
12,87,199,4.38,Acidic
140,83,30,3.77,Acidic
99,134,10,4.46,Acidic
30,97,127,9.25,Alkaline
129,54,48,7.87,Alkaline
15,33,62,6.67,Sandy
136,85,85,9.15,Alkaline
72,14,50,7.21,Sandy
53,121,106,7.85,Alkaline
99,64,174,5.2,Acidic
108,64,52,7.03,Loamy
86,62,118,4.36,Acidic
136,49,159,5.93,Clay
7,128,24,3.7,Acidic
6,30,202,4.8,Acidic
35,106,119,3.95,Acidic
17,55,167,5.83,Clay
2,56,80,8.56,Alkaline
27,55,180,5.77,Clay
69,135,199,8.49,Alkaline
27,18,200,7.44,Clay
53,5,125,6.56,Clay
64,18,184,4.92,Acidic
99,85,113,9.03,Alkaline
20,7,72,3.83,Acidic
12,102,136,7.63,Alkaline
56,44,171,7.23,Clay
48,93,153,6.15,Clay
117,129,70,4.94,Acidic
53,99,148,6.08,Clay
137,13,139,8.74,Alkaline
52,98,87,8.52,Alkaline
43,88,13,9.15,Alkaline
46,25,21,5.35,Acidic
52,29,117,5.82,Sandy
73,106,144,3.61,Acidic
45,126,189,9.16,Alkaline
12,29,177,5.48,Acidic
101,141,124,5.92,Loamy
23,107,15,8.95,Alkaline
1,61,145,6.66,Clay
80,41,163,6.9,Clay
99,20,30,4.56,Acidic
137,41,67,6.49,Sandy
130,80,163,9.01,Alkaline
110,30,26,6.85,Sandy
101,24,138,5.03,Acidic
16,141,152,3.69,Acidic
11,107,14,5.52,Sandy
115,33,87,6.94,Sandy
23,35,167,3.76,Acidic
28,23,30,7.16,Sandy
121,31,75,6.64,Sandy
89,98,41,8.2,Alkaline
64,89,140,3.67,Acidic
83,48,137,8.19,Alkaline
118,117,176,6.63,Loamy
15,78,130,5.72,Clay
103,91,119,9.29,Alkaline
91,98,96,4.46,Acidic
26,102,199,6.75,Clay
133,145,204,5.43,Acidic
134,136,121,6.66,Loamy
32,60,53,6.81,Sandy
54,101,40,4.04,Acidic
6,102,30,7.47,Sandy
56,38,49,7.31,Sandy
125,104,65,8.12,Alkaline
11,18,176,4.04,Acidic
15,116,136,5.28,Acidic
42,79,80,7.4,Sandy
116,101,62,4.32,Acidic
134,125,109,7.57,Alkaline
110,59,30,3.85,Acidic
50,121,99,5.51,Sandy
74,97,83,8.58,Alkaline
7,41,132,8.15,Alkaline
44,30,161,7.37,Clay
58,71,141,8.72,Alkaline
131,88,82,7.76,Alkaline
103,22,40,6.62,Sandy
97,31,136,9.38,Alkaline
78,35,63,7.67,Alkaline
123,110,169,7.11,Loamy
3,133,128,5.95,Clay
89,10,92,8.91,Alkaline
103,15,85,5.27,Acidic
136,22,145,3.56,Acidic
118,25,152,4.68,Acidic
132,23,21,4.16,Acidic
55,8,55,5.41,Acidic
95,81,59,8.46,Alkaline
74,120,165,7.41,Clay
31,29,153,4.51,Acidic
27,81,85,8.23,Alkaline
21,53,154,6.53,Clay
16,69,157,6.58,Clay
58,87,199,5.67,Clay
89,5,114,8.69,Alkaline
105,85,144,5.41,Acidic
25,25,147,4.06,Acidic
24,90,90,5.32,Acidic
137,19,6,7.79,Alkaline
44,54,136,7.45,Clay
82,52,49,4.63,Acidic
10,53,17,4.17,Acidic
103,112,59,7.47,Loamy
67,49,164,7.56,Alkaline
94,36,26,5.7,Sandy
64,136,93,8.56,Alkaline
48,101,59,9.37,Alkaline
51,84,149,4.73,Acidic
101,58,202,6.96,Loamy
56,131,183,3.53,Acidic
46,138,140,7.78,Alkaline
25,70,193,5.99,Clay
113,141,101,4.66,Acidic
4,113,142,8.01,Alkaline
83,27,23,8.36,Alkaline
51,111,132,4.17,Acidic
104,55,146,3.75,Acidic
53,76,71,5.5,Sandy
14,107,187,7.26,Clay
60,84,65,8.26,Alkaline
121,22,188,6.78,Clay
20,85,67,6.98,Sandy
45,111,109,8.3,Alkaline
133,73,108,6.67,Loamy
37,84,143,7.17,Clay
61,46,179,6.6,Clay
85,38,138,8.78,Alkaline
77,52,38,4.91,Acidic
45,140,197,5.08,Acidic
140,142,103,4.27,Acidic
2,9,68,8.42,Alkaline
5,120,91,5.97,Sandy
92,121,85,5.59,Loamy
7,112,70,9.39,Alkaline
107,27,163,9.06,Alkaline
74,66,87,9.33,Alkaline
76,17,194,4.35,Acidic
49,141,186,8.85,Alkaline
10,24,96,5.47,Acidic
94,96,140,3.58,Acidic
69,112,174,5.85,Clay
15,112,173,6.56,Clay
67,37,191,4.15,Acidic
98,68,172,6.73,Loamy
47,34,154,8.42,Alkaline
63,112,156,5.77,Clay
89,77,42,5.62,Sandy
75,113,134,5.53,Clay
138,104,129,9.04,Alkaline
100,18,45,3.79,Acidic
88,23,23,6.17,Sandy
17,75,109,5.09,Acidic
18,63,134,8.86,Alkaline
54,101,96,4.08,Acidic
101,48,100,5.97,Sandy
117,115,66,5.94,Loamy
133,15,20,8.83,Alkaline
3,110,98,4.79,Acidic
107,6,154,7.37,Clay
114,129,146,4.31,Acidic
28,98,120,9.22,Alkaline
58,97,60,7.06,Sandy
124,8,69,7.26,Sandy
97,67,177,6.1,Loamy
16,33,58,5.55,Sandy
106,23,198,4.78,Acidic
42,95,90,7.12,Sandy
79,33,178,9.23,Alkaline
7,120,165,5.66,Clay
140,74,54,8.8,Alkaline
105,127,109,4.39,Acidic
7,27,26,9.12,Alkaline
95,50,44,5.6,Sandy
93,12,43,5.78,Sandy
64,70,109,6.28,Sandy
38,104,173,7.81,Alkaline
80,65,72,7.82,Alkaline
83,116,11,6.38,Sandy
87,56,89,6.64,Sandy
85,40,203,3.68,Acidic
92,116,136,5.33,Acidic
85,91,80,5.58,Sandy
43,89,95,6.85,Sandy
136,17,191,6.85,Clay
73,51,88,7.76,Alkaline
35,94,158,7.8,Alkaline
100,26,35,4.91,Acidic
103,62,103,8.12,Alkaline
65,34,205,3.62,Acidic
54,110,201,7.8,Alkaline
90,78,56,4.11,Acidic
21,98,116,7.88,Alkaline
100,75,76,6.66,Loamy
120,11,25,6.12,Sandy
92,69,20,7.64,Alkaline
107,50,183,3.72,Acidic
140,22,20,4.84,Acidic
9,145,150,7.2,Clay
8,12,179,8.58,Alkaline
33,78,60,5.79,Sandy
128,106,160,5.05,Acidic
88,83,86,6.61,Sandy
92,83,82,7.23,Loamy
70,125,188,6.02,Clay
66,67,41,8.76,Alkaline
116,44,148,6.64,Clay
93,88,197,3.71,Acidic
98,19,64,4.84,Acidic
112,103,193,6.2,Loamy
102,138,15,7.69,Alkaline
90,125,130,4.82,Acidic
89,67,70,9.36,Alkaline
16,140,130,5.41,Acidic
17,132,36,6.69,Sandy
115,116,151,3.61,Acidic
92,115,60,8.81,Alkaline
90,36,9,8.23,Alkaline
81,49,135,4.67,Acidic
67,126,160,9.1,Alkaline
113,86,94,5.4,Acidic
0,17,98,7.65,Alkaline
57,28,76,8.41,Alkaline
108,18,104,7.95,Alkaline
115,74,33,9.01,Alkaline
86,66,63,8.69,Alkaline
9,124,29,9.47,Alkaline
58,93,154,4.6,Acidic
40,5,101,5.33,Acidic
104,130,105,7.32,Loamy
132,36,121,7.9,Alkaline
121,145,203,6.71,Loamy
21,36,27,3.94,Acidic
97,60,74,8.55,Alkaline
67,95,83,9.27,Alkaline
138,8,83,5.93,Sandy
55,27,172,4.85,Acidic
98,33,102,3.62,Acidic
75,102,18,4.92,Acidic
25,34,33,7.7,Alkaline
114,94,148,8.97,Alkaline
108,71,91,4.06,Acidic
46,105,14,6.82,Sandy
70,62,51,7.67,Alkaline
39,29,8,5.16,Acidic
132,27,16,6.92,Sandy
131,133,46,7.79,Alkaline
22,101,8,8.53,Alkaline
105,132,88,6.21,Loamy
83,85,96,7.99,Alkaline
115,8,96,5.31,Acidic
108,139,10,4.78,Acidic
135,50,146,4.62,Acidic
40,13,39,5.65,Sandy
111,37,179,3.72,Acidic
111,88,190,5.2,Acidic
102,136,69,7.41,Loamy
45,69,151,7.39,Clay
67,110,61,3.94,Acidic
121,38,197,5.22,Acidic
14,89,17,6.92,Sandy
128,92,140,5.41,Acidic
110,59,22,6.01,Loamy
23,141,167,7.78,Alkaline
26,21,91,3.56,Acidic
39,145,118,5.16,Acidic
23,135,30,4.35,Acidic
23,8,170,4.27,Acidic
3,11,70,9.25,Alkaline
66,30,30,5.76,Sandy
33,28,130,6.66,Clay
115,14,61,7.9,Alkaline
22,17,29,3.78,Acidic
108,129,34,4.95,Acidic
68,43,139,8.49,Alkaline
94,23,31,8.67,Alkaline
61,80,143,5.74,Clay
56,56,105,5.75,Sandy
53,124,140,8.04,Alkaline
69,50,15,5.27,Acidic
100,79,130,4.2,Acidic
56,128,34,5.05,Acidic
137,52,98,5.82,Loamy
134,66,120,3.81,Acidic
102,62,19,6.37,Loamy
84,22,188,7.94,Alkaline
60,112,39,6.58,Sandy
2,52,43,3.93,Acidic
127,67,28,6.14,Loamy
85,16,12,7.75,Alkaline
46,38,47,3.85,Acidic
75,106,174,3.86,Acidic
37,91,88,5.72,Sandy
140,29,173,4.67,Acidic
86,136,51,9.11,Alkaline
57,145,30,6.99,Sandy
49,53,184,5.22,Acidic
29,82,154,7.73,Alkaline
100,140,137,5.75,Loamy
24,59,147,4.29,Acidic
111,22,168,4.92,Acidic
125,39,105,7.36,Sandy
122,11,67,3.81,Acidic
46,17,97,5.14,Acidic
117,130,181,4.75,Acidic
38,116,59,4.71,Acidic
15,73,76,7.6,Alkaline
21,104,64,8.45,Alkaline
53,94,189,7.8,Alkaline
15,46,33,7.37,Sandy
58,113,23,9.0,Alkaline
30,114,77,3.85,Acidic
31,30,142,4.5,Acidic
8,80,105,5.99,Sandy
138,36,142,5.73,Clay
9,95,61,6.01,Sandy
16,129,186,4.74,Acidic
67,130,188,4.4,Acidic
47,56,72,6.56,Sandy
110,107,201,9.07,Alkaline
122,109,91,5.85,Loamy
100,18,107,3.76,Acidic
101,108,187,7.74,Alkaline
64,121,201,5.25,Acidic
50,52,76,4.97,Acidic
35,97,133,5.45,Acidic
80,114,122,7.84,Alkaline
126,57,144,8.41,Alkaline
87,7,167,7.03,Clay
103,72,120,5.43,Acidic
14,137,86,5.36,Acidic
95,142,165,4.25,Acidic
122,56,113,9.1,Alkaline
0,100,157,7.33,Clay
121,35,20,3.66,Acidic
125,70,140,7.47,Loamy
56,95,39,6.18,Sandy
80,73,178,9.34,Alkaline
72,91,143,8.41,Alkaline
140,37,193,4.53,Acidic
69,72,48,7.82,Alkaline
5,92,143,6.41,Clay
83,99,143,4.62,Acidic
51,112,154,7.69,Alkaline
2,57,89,6.78,Sandy
80,78,86,3.68,Acidic
62,53,194,7.38,Clay
48,117,180,7.31,Clay
75,118,106,4.36,Acidic
111,99,67,5.59,Loamy
108,29,183,7.02,Clay
64,136,177,4.33,Acidic
80,143,37,8.62,Alkaline
14,112,64,3.66,Acidic
99,73,127,4.12,Acidic
31,88,6,4.2,Acidic
95,89,145,6.67,Loamy
127,123,198,7.22,Loamy
112,76,61,5.92,Loamy
82,24,175,5.23,Acidic
42,31,49,8.36,Alkaline
115,12,35,3.91,Acidic
77,89,142,5.18,Acidic
57,65,27,3.73,Acidic
32,7,33,3.58,Acidic
13,11,35,5.62,Sandy
131,8,22,4.67,Acidic
58,137,15,5.11,Acidic
82,143,107,8.43,Alkaline
133,129,51,4.48,Acidic
120,19,7,8.18,Alkaline
82,17,134,7.55,Alkaline
26,122,186,5.46,Acidic
79,11,76,6.78,Sandy
133,108,163,6.17,Loamy
12,10,140,4.27,Acidic
63,68,175,8.94,Alkaline
79,34,180,6.92,Clay
122,26,134,8.78,Alkaline
42,122,26,8.44,Alkaline
88,88,128,3.98,Acidic
94,137,137,4.74,Acidic
1,94,139,4.37,Acidic
119,125,24,8.48,Alkaline
21,110,81,8.67,Alkaline
114,73,134,6.67,Loamy
56,99,36,4.13,Acidic
71,81,94,4.31,Acidic
6,5,7,8.38,Alkaline
118,66,173,9.08,Alkaline
113,22,46,4.7,Acidic
15,52,81,3.57,Acidic
82,141,177,5.49,Acidic
71,5,105,3.68,Acidic
123,141,203,8.47,Alkaline
112,111,149,6.45,Loamy
11,134,132,7.35,Clay
125,42,51,5.97,Sandy
52,44,201,5.57,Clay
74,86,156,4.83,Acidic
132,20,203,8.12,Alkaline
26,131,127,7.67,Alkaline
139,121,38,5.66,Loamy
133,97,182,5.43,Acidic
96,138,46,3.51,Acidic
4,7,37,3.88,Acidic
56,18,127,7.24,Clay
77,70,31,6.59,Sandy
68,99,63,6.11,Sandy
117,90,151,8.47,Alkaline
119,118,119,6.52,Loamy
58,133,135,5.81,Clay
32,19,203,4.47,Acidic
61,41,132,8.42,Alkaline
49,31,124,6.96,Clay
111,16,157,4.05,Acidic
18,71,117,7.39,Sandy
122,34,19,6.05,Sandy
46,100,87,8.37,Alkaline
32,139,192,9.01,Alkaline
140,38,87,7.1,Sandy
83,36,27,7.89,Alkaline
134,121,15,3.84,Acidic
78,43,191,6.86,Clay
13,100,120,8.03,Alkaline
127,135,166,6.48,Loamy
53,47,107,7.06,Sandy
28,85,11,8.89,Alkaline
23,7,110,4.69,Acidic
81,78,176,4.09,Acidic
62,121,196,7.64,Alkaline
104,67,118,8.44,Alkaline
56,115,27,8.6,Alkaline
135,44,106,7.35,Sandy
61,22,62,8.5,Alkaline
16,71,24,7.7,Alkaline
65,107,159,4.02,Acidic
5,142,121,8.07,Alkaline
57,50,192,4.58,Acidic
68,59,140,4.92,Acidic
61,79,105,5.87,Sandy
81,101,199,5.39,Acidic
70,30,6,5.43,Acidic
130,26,26,4.52,Acidic
9,30,74,5.26,Acidic
97,77,107,3.62,Acidic
88,119,108,6.34,Sandy
34,55,40,8.11,Alkaline
1,117,112,8.67,Alkaline
123,16,28,8.42,Alkaline
23,7,144,6.0,Clay
73,124,26,7.88,Alkaline
21,139,87,5.23,Acidic
38,138,77,3.83,Acidic
19,86,128,7.56,Alkaline
40,49,85,7.39,Sandy
107,131,155,8.31,Alkaline
83,90,78,7.2,Sandy
110,119,195,4.44,Acidic
65,13,34,8.62,Alkaline
52,16,151,7.26,Clay
33,120,30,8.35,Alkaline
66,92,132,8.14,Alkaline
133,66,15,5.29,Acidic
26,108,24,3.95,Acidic
9,77,122,4.56,Acidic
72,81,60,4.06,Acidic
95,44,177,4.96,Acidic
47,139,200,6.26,Clay
69,21,51,8.94,Alkaline
99,123,93,8.73,Alkaline
58,130,62,7.81,Alkaline
1,28,14,3.64,Acidic
64,6,26,5.55,Sandy
82,96,75,7.59,Alkaline
9,121,28,4.27,Acidic
52,57,198,8.31,Alkaline
78,50,100,8.99,Alkaline
58,49,193,5.62,Clay
47,13,11,7.74,Alkaline
122,10,76,4.39,Acidic
21,55,131,7.64,Alkaline
99,123,42,3.63,Acidic
97,39,153,4.4,Acidic
24,86,140,7.76,Alkaline
27,29,125,7.77,Alkaline
112,143,93,7.35,Loamy
44,21,32,6.36,Sandy
67,40,96,7.55,Alkaline
6,100,58,8.14,Alkaline
48,25,163,9.3,Alkaline
136,22,120,8.83,Alkaline
82,5,120,8.27,Alkaline
128,140,124,7.67,Alkaline
137,55,45,6.94,Loamy
72,83,41,4.22,Acidic
45,40,129,4.49,Acidic
105,66,170,8.42,Alkaline
31,133,183,8.32,Alkaline
5,89,80,7.19,Sandy
73,46,41,6.13,Sandy
113,5,105,3.66,Acidic
26,58,35,5.46,Acidic
53,104,194,6.02,Clay
84,43,150,6.41,Clay
126,11,94,9.08,Alkaline
110,125,10,4.15,Acidic
14,49,141,6.61,Clay
131,78,143,5.71,Loamy
92,124,99,9.44,Alkaline
122,76,123,8.67,Alkaline
72,142,114,6.13,Sandy
91,50,124,9.5,Alkaline
16,127,134,6.58,Clay
42,122,127,4.5,Acidic
120,79,33,6.84,Loamy
40,10,114,4.86,Acidic
38,25,125,7.32,Clay
112,107,183,9.12,Alkaline
110,92,73,8.22,Alkaline
46,103,155,5.14,Acidic
62,66,11,5.28,Acidic
109,111,132,3.92,Acidic
68,87,60,5.22,Acidic
42,60,131,4.06,Acidic
33,26,81,6.5,Sandy
39,72,66,7.75,Alkaline
60,14,78,8.01,Alkaline
61,70,19,3.86,Acidic
57,12,57,5.54,Sandy
74,127,175,5.23,Acidic
15,42,124,4.13,Acidic
81,127,39,5.67,Sandy
93,66,18,5.3,Acidic
47,142,97,7.31,Sandy
137,49,201,8.8,Alkaline
81,69,126,6.23,Clay
37,71,181,7.98,Alkaline
126,141,22,4.38,Acidic
18,137,183,8.87,Alkaline
62,110,133,4.42,Acidic
76,142,129,4.65,Acidic
130,144,31,4.14,Acidic
101,86,68,5.36,Acidic
64,62,64,6.81,Sandy
119,135,173,9.43,Alkaline
90,73,153,8.26,Alkaline
